Domain Name, Attack Type, Version, Node
versionnumber_var20_base, version_number, base, 20
versionnumber_var20_oo, version_number, oo, 20
versionnumber_var20_gc, version_number, gc, 20
versionnumber_var15_base, version_number, base, 15
versionnumber_var15_oo, version_number, oo, 15
versionnumber_var15_gc, version_number, gc, 15
versionnumber_var10_base, version_number, base, 10
versionnumber_var10_oo, version_number, oo, 10
versionnumber_var10_gc, version_number, gc, 10
versionnumber_var5_base, version_number, base, 5
versionnumber_var5_oo, version_number, oo, 5
versionnumber_var5_gc, version_number, gc, 5
localrepair_var10_base, local_repair, base, 10
localrepair_var10_dec, local_repair, dec, 10
localrepair_var10_oo, local_repair, oo, 10
localrepair_var15_base, local_repair, base, 15
localrepair_var15_dec, local_repair, dec, 15
localrepair_var15_oo, local_repair, oo, 15
localrepair_var20_base, local_repair, base, 20
localrepair_var20_dec, local_repair, dec, 20
localrepair_var20_oo, local_repair, oo, 20
localrepair_var5_base, local_repair, base, 5
localrepair_var5_dec, local_repair, dec, 5
localrepair_var5_oo, local_repair, oo, 5
disflooding_var10_base, dis_flooding, base, 10
disflooding_var10_dec, dis_flooding, dec, 10
disflooding_var10_oo, dis_flooding, oo, 10
disflooding_var15_base, dis_flooding, base, 15
disflooding_var15_dec, dis_flooding, dec, 15
disflooding_var15_oo, dis_flooding, oo, 15
disflooding_var20_base, dis_flooding, base, 20
disflooding_var20_dec, dis_flooding, dec, 20
disflooding_var20_oo, dis_flooding, oo, 20
disflooding_var5_base, dis_flooding, base, 5
disflooding_var5_dec, dis_flooding, dec, 5
disflooding_var5_oo, dis_flooding, oo, 5

